title,Body,creationdate,acceptedanswerid,Score,tags,answercount,commentcount
"Ionic 2 Yelp API","<p>I'm trying to connect an Ionic 2 app to Yelp's API. Right now I'm just using a blank Ionic 2 application generated from the CLI and running on my localhost. </p>

<p>My code:</p>

<p><code>app.module.ts</code></p>

<pre><code>import { BrowserModule } from '@angular/platform-browser';
import { ErrorHandler, NgModule } from '@angular/core';
import { HttpModule } from '@angular/http';
import { IonicApp, IonicErrorHandler, IonicModule } from 'ionic-angular';
import { SplashScreen } from '@ionic-native/splash-screen';
import { StatusBar } from '@ionic-native/status-bar';

import { MyApp } from './app.component';
import { HomePage } from '../pages/home/home';

@NgModule({
  declarations: [
    MyApp,
    HomePage
  ],
  imports: [
    BrowserModule,
    HttpModule,
    IonicModule.forRoot(MyApp)
  ],
  bootstrap: [IonicApp],
  entryComponents: [
    MyApp,
    HomePage
  ],
  providers: [
    StatusBar,
    SplashScreen,
    {provide: ErrorHandler, useClass: IonicErrorHandler}
  ]
})
export class AppModule {}
</code></pre>

<p><code>home.ts</code></p>

<pre><code>import { Component } from '@angular/core';
import { NavController } from 'ionic-angular';
import { Http } from '@angular/http';
import { Headers, RequestOptions } from '@angular/http';
import 'rxjs/add/operator/map';

@Component({
  selector: 'page-home',
  templateUrl: 'home.html'
})
export class HomePage {

  restaurants:any;
  constructor(public navCtrl: NavController, public http: Http) {
    var headers = new Headers();
    headers.append('Authorization', 'Bearer someString');
    var options = new RequestOptions({headers: headers});

    this.http.get('https://api.yelp.com/v3/businesses/search?term=deli20&amp;latitude=39.59754&amp;longitude=-104.872934', options).map(res =&gt; res.json()).subscribe(data =&gt; {
        this.restaurants = data.data.children;
        console.log(this.restaurants);
    });
  }



}
</code></pre>

<p><code>home.html</code></p>

<pre><code>&lt;ion-header&gt;
  &lt;ion-navbar&gt;
    &lt;ion-title&gt;
      Ionic Blank
    &lt;/ion-title&gt;
  &lt;/ion-navbar&gt;
&lt;/ion-header&gt;

&lt;ion-content padding&gt;
  The world is your oyster.
  &lt;p&gt;
    If you get lost, the &lt;a href=""http://ionicframework.com/docs/v2""&gt;docs&lt;/a&gt; will be your guide.
  &lt;/p&gt;
  &lt;!--Just using Ionic 2's default home page, just wanna output my JSON to the console for now.--&gt;
&lt;/ion-content&gt;
</code></pre>

<p>The page renders correctly, but the error I get in the console: ""Failed to load resource: Preflight response is not successful""</p>

<p>The response looks like this:</p>

<pre><code>{""error"": {""code"": ""TOKEN_MISSING"", ""description"": ""An access token must be supplied in order to use this endpoint.""}}
</code></pre>

<p>Any thoughts on what I might be missing?</p>
","2017-04-18 01:57:12","","1","<ionic-framework><ionic2><yelp>","1","4"
"Yelp, Google's API for restaurants help","<p>Ok I have looked into this, and I'm not sure if anyone else has experience with it. I'm having termendous difficulties with Yelp and Google's API.</p>

<p>To help explain what I am trying to do here is the concept of the website. We would have to pull restaurants based on user distance, and then randomize them based on quality of restaurant based on feedback from review websites (Yelp, Google, urbanspoon, zagat, opentable, kudzu, yahoo - doesn't have to be from all), and feedback from our users (on results page for the random restaurant users can select good recommendation/bad recommendation). There’s a lot we could calculate for our formula. Things that will dictate your results will be based on if you’re at home or work. If you’re at home you will have more time to drive out to the city to grab some dinner or lunch. If you’re at work we would have to recommend restaurants nearby as lunch is typically 30 minutes to a hour. A 30 minute lunch would require take out most likely or quick service. A hour lunch break you could dine in at a local fine dining restaurant. So in a nutshell, user comes to website. Select if they're at home or work, click submit and we will have a random restaurant selected for them to go. If they don't like it they can click retry and a new restaurant can show.</p>

<p>The issue I am having is using the API to gather all the restaurants in the US. I know it can be done because there are similiar websites/apps that pull restaurants that are closest to you such as Ness, Alfred, and I believe there's two more but I can't remember the names.</p>

<p>Anyone know if this can be accomplish? As I desperately need some help. Thanks in advance!</p>
","2012-03-26 14:24:28","9896483","1","<api><yelp>","1","0"
"Yelp API 1 - Geo point by radius","<p>I just wanted to know what the units for the radius parameter are.
This is unfortunately not documented?
Anybody an idea?</p>
","2013-08-18 23:59:21","18305115","1","<yelp>","1","0"
"Using Yelp API to estimate number of businesses in a given city","<p>I'm currently experimenting with the Yelp API, using Python. I'm interested in <strong>estimating the number of businesses present in a city using the Yelp API.</strong></p>

<p><strong><em>Example</em></strong></p>

<p>I tried doing this with San Francisco, as follows:</p>

<pre><code>#create yelp_api using private keys 
search_results = yelp_api.search_query(location=""San Francisco, California"")
business_estimate = search_results['total'] #total is the total number of results obtained
</code></pre>

<p>My reasoning with the above was, in leaving the other fields blank my search would be as broad as possible, i.e. a search of all businesses in San Francisco. </p>

<p>However, between executions of the above script, <em>business_estimate</em> fluctuated in the thousands. e.g. 63000, 55000, 81000</p>

<p><strong><em>Question</em></strong></p>

<p>My question is, <strong>why does business_estimate fluctuate so much?</strong> Also, is there a better method than mine  for estimating the number of businesses in a given city than my method?</p>

<p>For reference, here is the Yelp API documentation: <a href=""http://www.yelp.ie/developers/documentation/v2/search_api"" rel=""nofollow"">http://www.yelp.ie/developers/documentation/v2/search_api</a></p>
","2014-11-13 21:08:14","","0","<python><bigdata><yelp>","1","4"
"Can I use RestKit 0.20.3 to submit a request with OAuth parameters required by Yelp?","<p>I am writing an iOS app that requests data from Yelp.</p>

<p>I currently have code that manages Yelp requests/responses and parses the JSON data returned internally. The current code builds the OAuth parameters for its requests using OAuthConsumer by Jon Crosby.</p>

<p>I came upon RestKit yesterday, and found it very appealing. It would probably eliminate much of the request submission and response parsing I am doing.  </p>

<p>But I hit a roadblock, because I have not been able to figure out how to generate the OAuth parameters that Yelp requires with RestKit. I worked through the Ray Wenderlich RestKit tutorial at <a href=""http://www.raywenderlich.com/13097/intro-to-restkit-tutorial"" rel=""nofollow"">http://www.raywenderlich.com/13097/intro-to-restkit-tutorial</a>, but it uses a client ID and client secret (as required by Foursquare).</p>

<p>Yelp requests need to have a consumer key, token, signature method, signature, timestamp and nonce. I have been unable to find an add-on for RestKit that can generate this particular set of OAuth parameters.</p>

<p>I am now generating my RestKit GET requests using an AFOAuth1Client developed by Matt Thompson.  Now the Yelp API is returning an Invalid Signature error when I send a request. </p>

<p>I am puzzled because I have checked the fields in the HTTP Authorization header, and they look correct.  The error seems to indicate that Yelp wants the oauth parameters in the URL, but the API documentation says that it is acceptable to send them in the authorization header.</p>

<p>Here is the Invalid Signature error I'm getting:</p>

<p>2013-08-26 15:34:54.806 RestKitYelpGroupon[2157:400b] E restkit.network:RKObjectRequestOperation.m:575 Object request failed: Underlying HTTP request operation failed with error: Error Domain=org.restkit.RestKit.ErrorDomain Code=-1011 ""Expected status code in (200-299), got 400"" UserInfo=0xa876190 {NSLocalizedRecoverySuggestion={""error"": {""text"": ""Signature was invalid"", ""id"": ""INVALID_SIGNATURE"", ""description"": ""Invalid signature. Expected signature base string: GET\u0026http%3A%2F%2Fapi.yelp.com%2Fv2%2Fsearch\u0026ll%3D32.893282%252C-117.195083%26oauth_consumer_key%3D(MY CONSUMER KEY)%26oauth_nonce%3DC0F25D91-B473-4059-B5F6-2D850A144A1D%26oauth_signature_method%3DHMAC-SHA1%26oauth_timestamp%3D1377556409%26oauth_token%3D(MY OAUTH TOKEN)%26oauth_version%3D1.0%26term%3Dsushi""}}, AFNetworkingOperationFailingURLRequestErrorKey=http://api.yelp.com/v2/search?ll=32.893282%2C-117.195083&amp;term=sushi>, NSErrorFailingURLKey=<a href=""http://api.yelp.com/v2/search?ll=32.893282%2C-117.195083&amp;term=sushi"" rel=""nofollow"">http://api.yelp.com/v2/search?ll=32.893282%2C-117.195083&amp;term=sushi</a>, NSLocalizedDescription=Expected status code in (200-299), got 400, AFNetworkingOperationFailingURLResponseErrorKey=}</p>

<p>Here is the code I am using to generate the requests:</p>

<pre><code>NSURL *baseURL = [NSURL URLWithString:@""http://api.yelp.com/v2""];
AFOAuth1Client *oauth1Client = [[AFOAuth1Client alloc] initWithBaseURL:baseURL key:consumerKey secret:consumerSecret];
oauth1Client.accessToken = [[AFOAuth1Token alloc] initWithKey:tokenKey
                                               secret:tokenSecret
                                              session:nil
                                           expiration:[NSDate distantFuture]
                                            renewable:NO];

[oauth1Client registerHTTPOperationClass:[AFJSONRequestOperation class]];

// Accept HTTP Header; see http://www.w3.org/Protocols/rfc2616/rfc2616-sec14.html#sec14.1
[oauth1Client setDefaultHeader:@""Accept"" value:@""application/json""];

RKObjectManager *objectManager = [[RKObjectManager alloc] initWithHTTPClient:oauth1Client];

RKObjectMapping *couponMapping = [RKObjectMapping mappingForClass:[Coupon class]];
[couponMapping addAttributeMappingsFromDictionary:@{@""id"" : @""id""}];

RKObjectMapping *businessMapping = [RKObjectMapping mappingForClass:[Business class]];
[businessMapping addAttributeMappingsFromDictionary:@{@""name"" : @""name""}];
[businessMapping addPropertyMapping:[RKRelationshipMapping relationshipMappingFromKeyPath:@""deals"" toKeyPath:@""location"" withMapping:couponMapping]];

RKResponseDescriptor * responseDescriptor = [RKResponseDescriptor    
    responseDescriptorWithMapping:businessMapping
    method:RKRequestMethodGET
    pathPattern:nil
    keyPath:@""response.venues""
    statusCodes:RKStatusCodeIndexSetForClass(RKStatusCodeClassSuccessful)];

[objectManager addResponseDescriptor:responseDescriptor];
[objectManager getObjectsAtPath:@""http://api.yelp.com/v2/search""
                     parameters:queryParams
                        success:^(RKObjectRequestOperation * operaton, RKMappingResult *mappingResult)
</code></pre>

<p>Any further assistance is greatly appreciated!</p>
","2013-08-23 23:50:46","","3","<ios><oauth><restkit><yelp>","1","0"
"Yelp data file type","<p>I have tried to open the file from the Yelp dataset challenge website (<a href=""https://www.yelp.com/dataset_challenge"" rel=""nofollow noreferrer"">https://www.yelp.com/dataset_challenge</a>). I have successfully done that, however, I cannot open the file, as it does not have an extension. It is about 4 GB. I thought it might've been a JSON file because when I searched around, in the past it was. However, I can't figure out how to open this or convert it to CSV. I'd like to use some analysis with Python on this data. Can anyone help me? Thank you.</p>
","2017-04-26 02:38:44","43716838","2","<python><machine-learning><yelp>","2","0"
"Yelp API access getting expired timestamp","<p>Following the instructions laid out in <a href=""https://stackoverflow.com/questions/6676733/yelp-integration-in-android"">this thread</a>, I set up an api call, however I get this error</p>

<pre><code> ""error"": {""text"": ""Signature was invalid"", ""id"": ""INVALID_SIGNATURE"", ""description"": ""Expired      timestamp: given 1417446491 and now 1417464535 has a greater difference than threshold 300""}}
</code></pre>

<p>And I can't figure out why. The Android device is reporting the correct time for it. It can't be timezone because the difference is just 18 seconds. Anyone know what could be going wrong?</p>
","2014-12-01 20:18:37","","0","<android><api><yelp>","0","2"
"Parsing Yelp using lxml - ignore html tag","<p>I am trying to run the below code bit to extract Yelp review</p>

<pre><code>from lxml import html  
import requests  
import csv  
page = requests.get('http://www.yelp.com/biz/guisados-los-angeles')

review = tree.xpath('//p[@itemprop=""description""]/text()')
</code></pre>

<p>Now, I have a review as below </p>

<pre>
These tacos are the business.

We ventured into an unpretentious, relatively small restaurant who offered a photographic menu (VERY helpful) of the different tacos they have. 
</pre>

<p>The above review single review is being split as the list below</p>

<pre><code>[
    'These tacos are the business.', 
    'We ventured into an unpretentious, relatively small restaurant who offered a photographic menu (VERY helpful) of the different tacos they have.
]
</code></pre>

<p>How do I get lxml <code>text()</code> to ignore the <code>&lt;br&gt;</code> in the comment? Any pointers, please?</p>
","2014-12-22 02:33:49","27595966","1","<python><web-scraping><lxml><yelp><lxml.html>","1","0"
"Redirect visitors only from Yelp.com","<p>I would like visitor from my yelp listing to land on a different page of my website.</p>

<p>For example: On yelp.com my website URL is domain.com. But when the visitor clicks on that URL, they should be redirected to domain.com/newpage</p>

<p>I am trying to do this only for the visitors who come to my website through yelp. How is this possible?</p>
","2016-02-19 19:01:11","35513091","1","<php><wordpress><.htaccess><redirect><yelp>","3","3"
"Yelp 5 star reviews badge to open in new window","<p>I can't figure out how to add the target=""_blank"" attribute to the 5 star rating badge.</p>

<p>This is what I've inserted into webpage...coming from yelp.  I added the last line to the script to try and add attribute but it wont accept.  I can, however get it to accept on the div before as well as the img after just not on the anchor tag.  </p>

<pre><code>&lt;div class=""localsocialyelpreviews""&gt;&lt;div id=""yelp-biz-badge-fsc-N6ciVLIYpasN2FWN3Nxy9Q""&gt;Gina's Pizza &amp; Pastaria&lt;/div&gt;&lt;script type=""text/javascript""&gt;
!function(doc, id){
  var js;
  var scriptElement = doc.getElementsByTagName(""script"")[0];
  if (!doc.getElementById(id)) {
    js = doc.createElement(""script"");
    js.id = id;
    js.src = ""//dyn.yelpcdn.com/biz_badge_js/fsc/N6ciVLIYpasN2FWN3Nxy9Q.js"";
    scriptElement.parentNode.insertBefore(js, scriptElement);
  }
} (document, ""yelp-biz-badge-script-fsc-N6ciVLIYpasN2FWN3Nxy9Q"");
$(""div#yelp-biz-badge-fsc-N6ciVLIYpasN2FWN3Nxy9Q &gt; a"").attr(""target"",""_blank"");&lt;/script&gt;&lt;/div&gt;
</code></pre>

<p>This is what ends up happening.  NO TARGET ATTRIBUTE :/</p>

<pre><code>&lt;div class=""localsocialyelpreviews""&gt;
&lt;div id=""yelp-biz-badge-fsc-N6ciVLIYpasN2FWN3Nxy9Q""&gt;&lt;a href=""http://www.yelp.com/biz/ginas-pizza-and-pastaria-corona-del-mar""&gt;&lt;img width=""125"" height=""55"" src=""http://dyn.yelpcdn.com/extimg/fsc/N6ciVLIYpasN2FWN3Nxy9Q.png"" alt=""Gina's Pizza &amp;amp; Pastaria""&gt;&lt;/a&gt;&lt;/div&gt;
&lt;p&gt;&lt;script type=""text/javascript""&gt;
!function(doc, id){
  var js;
  var scriptElement = doc.getElementsByTagName(""script"")[0];
  if (!doc.getElementById(id)) {
    js = doc.createElement(""script"");
    js.id = id;
    js.src = ""//dyn.yelpcdn.com/biz_badge_js/fsc/N6ciVLIYpasN2FWN3Nxy9Q.js"";
    scriptElement.parentNode.insertBefore(js, scriptElement);
  }
} (document, ""yelp-biz-badge-script-fsc-N6ciVLIYpasN2FWN3Nxy9Q"");
$(""div#yelp-biz-badge-fsc-N6ciVLIYpasN2FWN3Nxy9Q &amp;gt; a"").attr(""target"",""_blank"");&lt;/script&gt;&lt;/p&gt;&lt;/div&gt;
</code></pre>

<p>I appreciate any insight.. I've tried this many different ways and searched for the solution to this in yelp and stackoverflow but cannot find the answer.  Thanks</p>
","2013-06-12 16:08:06","","0","<javascript><yelp>","4","1"
