title,Body,creationdate,acceptedanswerid,Score,tags,answercount,commentcount
"Musicbrainz fingerprinting","<p>I've been busy with understanding the <a href=""http://musicbrainz.org"" rel=""noreferrer"">MusicBrainz</a> database in the past few hours and as I noticed there's no command line application to tag or fingerprint audio files. Are there any CLI implementations on Musicbrainz's fingerprinting? And how can I create those fingerprints?</p>

<p>I found some <a href=""http://musicbrainz.org/doc/Products#Developer_resources"" rel=""noreferrer"">development tools</a> on their website (python-musicbrainz2, libdiscid and the XML webs service) but I couldn't find a simple tool or app which creates those fingerprints (the developments tools only seem to be useful for retrieving track/artist information using a fingerprint). Am I understanding something wrong?</p>

<p>Kind regards</p>
","2010-01-02 19:10:56","1992785","7","<audio><command-line-interface><fingerprint><fingerprinting><musicbrainz>","4","0"
"How to use existing java data bindings in grails?","<p>I need to add a new datasource to my grails project wich uses the musicbrainz postgresql database. <a href=""http://musicbrainz.org/doc/MusicBrainz_Database"" rel=""nofollow"">http://musicbrainz.org/doc/MusicBrainz_Database</a></p>

<p>I found a project on github where the data bindings are ready to use for a spring project:
<a href=""https://github.com/lastfm/musicbrainz-data"" rel=""nofollow"">https://github.com/lastfm/musicbrainz-data</a></p>

<p>Am i able to use these data bindings in a grails 2.2.3 project? If yes, how can i do this? (because there is no hibernate xml as needed by grails (regarding to the grails documentation: Hibernate Mapped Domain Classes))</p>
","2013-08-18 19:07:47","18302958","0","<java><hibernate><grails><musicbrainz>","1","3"
"PostgreSQL 9.3 Import dump into table psql newbie frustration","<p>I am working on Windows Server 2008 with the musicbrainz database dump. I unzipped the dump no problem and there are about 60 files with no extension whose names mirror the database tables.</p>

<p>I managed to get a createtables sql script I found at the github to work and I have a database schema with empty tables that mirror the files that I unzipped.</p>

<p>The problem is I am at the psql command line interface and I figured out how to issue the large object import command as per</p>

<p>\lo_import 'path/filename'</p>

<p>It seems to work because the files are very large and the moment I execute the CPU light starts blinking like mad. The problem is back in Postgres after I refresh my db the tables are still empty. I have no idea where that data goes if anywhere. </p>

<p>I am a straight up windows programmer (.NET/SQL/JQuery) so I need someone who can explain what's going on from this perspective. Explaining what works in unix or linux or anything other than windows will not be helpful I am afraid.</p>
","2012-04-17 12:18:22","","0","<windows><postgresql><musicbrainz>","1","2"
"Locating the mbid for various tracks with musicbrainzws2-java","<p>I have imported the musicbrainzws2-java library into my project and I have been reading through the documentation that MusicBrainz has on their web service. It is very confusing though. I was wondering if someone could help me understand how to navigate through the MusicBrainz data base. I don't understand the terminology and my main goal of using the database is to gather the mbid's for various songs.</p>

<p>Right now this is what I have.</p>

<pre><code>    public static void main(String[] args) {

    ArtistSearchFilterWs2 filter = new ArtistSearchFilterWs2();

    filter.setArtistName(""Lindsey Stirling"");
    filter.setLimit((long) 100);
    filter.setMinScore((long) 0);
    filter.setOffset((long) 0);

    ArtistSearchWs2 search = new ArtistSearchWs2(filter);

    List&lt;ArtistResultWs2&gt; result = search.getFullList();

    /*
    for(ArtistResultWs2 artist : result) {
        System.out.println(artist.getArtist().getName() + "" "" + i);
        i++;

        if(artist.getArtist().getName() == ""Lindsey Stirling"") {

            System.out.println(artist.getArtist().getName() + "" "" + i);
            break;
        }

    }
    */

    String artistName = result.get(0).getArtist().getName();
    System.out.println(artistName);

    List&lt;ReleaseWs2&gt; releases = result.get(0).getArtist().getReleaseList().getReleases();

    System.out.println(releases.size());

    for(ReleaseWs2 release : releases) {
        System.out.println(release.getTitle());

    }
</code></pre>

<p>For some reason it says that there are 0 releases for the artist Lindsey Stirling and on top of that I don't know how to search for a specific song based off of an artist and album</p>
","2014-11-25 05:33:23","","0","<java><musicbrainz>","1","1"
"Music Ontology Musicbrainz SPARQL","<p>I am not able to access the Musicbrainz SPARQL page <a href=""http://dbtune.org/musicbrainz/sparql"" rel=""nofollow noreferrer"">http://dbtune.org/musicbrainz/sparql</a> . Is this the right link for accessing the endpoint or am I doing something wrong?</p>
","2017-03-07 18:08:44","","0","<sparql><music><ontology><musicbrainz>","0","2"
"Get tracklist of album with MusicBrainz ID","<p>I'm currently using the <a href=""https://github.com/mikealmond/MusicBrainz/"" rel=""nofollow"">mikealmond/MusicBrainz</a> class to get the info I need from the wonderful MusicBrainz database.</p>

<p>But I have one problem, I need to get recordings off a release, I've found how to do it on the web API here in the browser via this url: musicbrainz(dot)org/ws/2/release/61bf0388-b8a9-48f4-81d1-7eb02706dfb0?inc=recordings</p>

<p>But in the class I'm using they require that I add a entity before I add the ID of the release, but I don't know what to add. And if I try to take it away I just end up with a url like this:
musicbrainz(dot)org/ws/2/release/?=61bf0388-b8a9-48f4-81d1-7eb02706dfb0?inc=recordings and that doesn't work.
Is there a entity I can add to say that I'm giving the release mbid?</p>

<p>Or maybe someone could help me change the class I'm using to make this work, I've tried doing it myself but failed.</p>

<p><strong>EDIT</strong>: I've tried to contact the author with no luck.</p>

<p>I've tried this code from the class mentioned above:</p>

<pre><code>$includes = array('recordings');
try {
    $details = $brainz-&gt;browseRelease('61bf0388-b8a9-48f4-81d1-7eb02706dfb0', $includes, 2);
    print_r($details);
} catch (Exception $e) {
    print $e-&gt;getMessage();
}
print ""\n\n"";
</code></pre>
","2014-12-22 17:22:37","27872771","2","<php><musicbrainz>","1","3"
"composer.json / cakephp","<p>I want to use: <a href=""https://github.com/mikealmond/MusicBrainz"" rel=""nofollow"">https://github.com/mikealmond/MusicBrainz</a>
Copied the lib in myapp->vendor Folder. Installed Guzzle with composer and updated composer.</p>

<pre><code>use GuzzleHttp\Client;
use MusicBrainz\Filters\ArtistFilter;
use MusicBrainz\Filters\RecordingFilter;
use MusicBrainz\HttpAdapters\GuzzleHttpAdapter;
use MusicBrainz\MusicBrainz;

require __DIR__ . '/vendor/autoload.php';
</code></pre>

<p>The autoload does not work. I tried many things and don't know, what to write in the composer.json.</p>

<pre><code>Error: Class 'MusicBrainz\MusicBrainz' not found 
</code></pre>

<p>When i call:</p>

<pre><code>$brainz = new MusicBrainz(new GuzzleHttpAdapter(new Client()));
</code></pre>

<p>I tried in composer.json</p>

<pre><code>""require-dev"": {
     ""vendor/MusicBrainz"": ""dev-master""
    },
    ""repositories"": [
        {
            ""type"": ""vcs"",
            ""url"":  ""https://github.com/mikealmond/MusicBrainz.git""
        }
    ],
</code></pre>

<p>Then composer update...
And i get:</p>

<pre><code>Loading composer repositories with package information
Updating dependencies (including require-dev)
Your requirements could not be resolved to an installable set of packages.

  Problem 1
    - The requested package src/musicbrainz could not be found in any version, there may be a typo in the package name.

Potential causes:
 - A typo in the package name
 - The package is not available in a stable-enough version according to your minimum-stability setting
   see &lt;https://getcomposer.org/doc/04-schema.md#minimum-stability&gt; for more details.

Read &lt;https://getcomposer.org/doc/articles/troubleshooting.md&gt; for further common problems.
</code></pre>
","2016-02-11 20:14:54","35352890","-2","<php><cakephp><composer-php><musicbrainz>","1","4"
"Querying MusicBrainz search API and get multiple artists for the specified recording","<p>I would like to get multiple artists for a specified recording. Say I have the (main) artist name like Pat Metheny, and have the album title like ""Bright Size Life"". I would like to get the other (2) artists for my result (Jaco Pastorius, and Bob Moses). When I use interactively the web page displays those two artists, however when I am using the API, only one artist is in the response.</p>

<p><img src=""https://i.stack.imgur.com/MWfTA.jpg"" alt=""enter image description here""></p>

<p>Here are the queries what I am trying:</p>

<pre><code>http://musicbrainz.org/ws/2/work/?query=bright%20size%20life
</code></pre>

<p>or </p>

<pre><code>http://musicbrainz.org/ws/2/recording?query=Bright%20size%20life
</code></pre>

<p>and here is the result with only one artist:</p>

<p><img src=""https://i.stack.imgur.com/UKUMZ.jpg"" alt=""enter image description here""></p>

<p>What I am missing?
Thx in advance</p>
","2015-01-13 18:45:26","27943139","0","<web-services><rest><musicbrainz>","1","0"
"Getting database for Echoprint Api using Python getting error","<p>i am trying to get started with Echoprint api .just installed Echoprint server and run it then i run a command for getting database of Echoprint api </p>

<pre><code>ritesh@L901134:~/echoprint/util$ python fastingest.py -b /home/ritesh/Downloads/echoprint-dump.json
</code></pre>

<p>and the error logs i am getting is</p>

<pre><code>1/1 /home/ritesh/Downloads/echoprint-dump.json
Traceback (most recent call last):
  File ""fastingest.py"", line 62, in &lt;module&gt;
    codes, bigeval = parse_json_dump(f)
  File ""fastingest.py"", line 14, in parse_json_dump
    codes = json.load(open(jfile))
  File ""/usr/lib/python2.7/json/__init__.py"", line 278, in load
    **kw)
  File ""/usr/lib/python2.7/json/__init__.py"", line 326, in loads
    return _default_decoder.decode(s)
  File ""/usr/lib/python2.7/json/decoder.py"", line 366, in decode
    obj, end = self.raw_decode(s, idx=_w(s, 0).end())
  File ""/usr/lib/python2.7/json/decoder.py"", line 384, in raw_decode
    raise ValueError(""No JSON object could be decoded"")
ValueError: No JSON object could be decoded
</code></pre>

<p>can any one please tell why i am facing this error and how to remove it so that i can get complete database ??</p>
","2013-06-22 12:45:32","","0","<solr><music><audio-fingerprinting><musicbrainz><tokyo-tyrant>","0","2"
"Filter fetched JSON data based on a certain criteria in Python","<p>I am new to python and am trying to fetch JSON data from musicbrainz using urllib and am able to parse some data. However, for some artists, certain fields / keys in the JSON data do not come as they might not be required. I am not sure how to filter the fetched JSON data based on a further filter criteria. </p>

<p>In the below example, I will need to filter the fetched JSON data only for the ones that have release-list>>release>>release-group>>type as 'Single'. The JSON fetched can have iterations up to 50 at times, but I only feed to further filter this to just the ones that were category 'Single'. Please let me know how one can go about. Thanks!</p>

<p>Sample JSON:</p>

<pre><code>{
    ""created"": ""2012-12-27T13:22:55.834Z"",
    ""recording-list"": {
        ""count"": 3,
        ""offset"": 0,
        ""recording"": [{
            ""score"": ""100"",
            ""title"": ""Stronger"",
            ""artist-credit"": {
                ""name-credit"": [{
                    ""artist"": {
                        ""name"": ""Britney Spears"",
                        ""sort-name"": ""Spears, Britney""
                    }
                }]
            },
            ""release-list"": {
                ""release"": [{
                    ""id"": ""13c5511f-1f99-4ffe-97d5-562c05e9d8d5"",
                    ""title"": ""Hit Hammer 2001 (disc 1)"",
                    ""status"": ""Official"",
                    ""artist-credit"": {
                        ""name-credit"": [{
                            ""artist"": {
                                ""id"": ""89ad4ac3-39f7-470e-963a-56509c546377"",
                                ""name"": ""Various Artists""
                            }
                        }]
                    },
                      ""release-group"": {
                        ""id"": ""6c4c2cc3-3d8e-3a19-9d46-da076c34b6e9"",
                        ""type"": ""Compilation"",
                        ""primary-type"": ""Album"",
                        ""secondary-type-list"": {
                            ""secondary-type"": [""Compilation""]
                        }
                    },
                    ""medium-list"": {
                        ""track-count"": 20,
                        ""medium"": [{
                            ""position"": 1,
                            ""track-list"": {
                                ""count"": 20,
                                ""offset"": 0,
                                ""track"": [{
                                    ""number"": ""1"",
                                    ""title"": ""Stronger"",
                                    ""length"": 203266
                                }]
                            }
                        }]
                    }
                }]
            }
        }, {
            ""id"": ""feb9acbf-1d3d-4395-9512-bfbdcfa72eb9"",
            ""score"": ""100"",
            ""title"": ""Stronger"",
            ""artist-credit"": {
                ""name-credit"": [{
                    ""joinphrase"": """",
                    ""artist"": {
                        ""name"": ""Britney Spears"",
                        ""sort-name"": ""Spears, Britney""
                    }
                }]
            },
            ""release-list"": {
                ""release"": [{
                    ""id"": ""45e2a271-2f6b-4029-b11e-b6d94d169f9a"",
                    ""title"": ""Stronger: The Remixes"",
                    ""status"": ""Official"",
                    ""release-group"": {
                        ""id"": ""4d018ba8-f05e-4817-8c70-34307161a0fc"",
                        ""type"": ""Single"",
                        ""primary-type"": ""Single""
                    },
                    ""date"": ""2000-12-12"",
                    ""country"": ""US"",
                    ""medium-list"": {
                        ""track-count"": 6,
                        ""medium"": [{
                            ""position"": 1,
                            ""format"": ""CD"",
                            ""track-list"": {
                                ""count"": 6,
                                ""offset"": 0,
                                ""track"": [{
                                    ""number"": ""1"",
                                    ""title"": ""Stronger"",
                                    ""length"": 203000
                                }]
                            }
                        }]
                    }
                }]
            },
            ""puid-list"": {
                ""puid"": [{
                    ""id"": ""28550845-c68a-314d-90c1-010dff730f4a""
                }]
            }
        }]
    }
}
</code></pre>

<p>Python Code:</p>

<pre><code>def get_mbid(artist, song):
    artist=urllib.quote_plus(artist)
    song=urllib.quote_plus(song)
    recording_url = 'http://search.musicbrainz.org/ws/2/recording/?&amp;fmt=json&amp;query=artist:""'+artist+'""%20AND%20recording:""'+song+'""'
    search_results = urllib.urlopen(recording_url)

    json = simplejson.loads(search_results.read())
    search_results.close()
    if json['recording-list']['count'] == 0:
        return get_mbid_artist(artist)
    else:
        recordings = json['recording-list']['recording']
        for recording in recordings:
            mbid = recording['artist-credit']['name-credit'][0]['artist']['id']
            print mbid
</code></pre>
","2012-12-29 14:52:56","","1","<python><json><musicbrainz>","1","4"
