title,Body,creationdate,acceptedanswerid,Score,tags,answercount,commentcount
"groupon api - not getting all the deals","<p>when i run the groupon api in apigee for division equals los angeles, thousands of deals come up, but when i run my code below, i'm only getting like 50 ?? please help</p>

<pre><code>var $result = $('#container')
$.ajax({
    type: 'GET',
    url: 'https://api.groupon.com/v2/deals.json?    client_id=b252ad3634a4ab2985b79d230ccc4e49a3ea9d19&amp;show=all&amp;division_id=los-angeles',
    dataType: 'jsonp',
}).done(function(data){
console.log(data)
$.each(data.deals, function(idx, deal){
    var html = '&lt;div class=""dealSmall""&gt;&lt;div class=""image""&gt;&lt;div class=""merchant""&gt;' +     deal.merchant.name + '&lt;img src=""' + deal.grid4ImageUrl + '""/&gt;&lt;/div&gt;&lt;/div&gt;&lt;div     class=""dealDetail""&gt;&lt;div class=""dealName""&gt;' + deal.announcementTitle+ '&lt;/div&gt;&lt;div     class=""price""&gt;' + deal.options[0].price.formattedAmount + '&lt;/div&gt;&lt;/div&gt;&lt;/div&gt;'
    $result.append(html)
    })
});
});
</code></pre>
","2013-08-14 19:37:59","","4","<jquery><json><api><groupon>","1","1"
"GroupOn - Material Design UI ListItem to Activity Animation Transition","<p>I am developing a mobile android app. Inside the GroupOn application, when the deals are listed inside of a ListView. If you click on a ListItem, there will be an animated transition into the newly launched Activity. How is this achieved? What library or API is being used? Thank you.</p>
","2015-11-10 18:58:04","","1","<android><android-activity><android-listview><material-design><groupon>","0","1"
"Changing the view inside my code, can't add row multipls at time","<p>Create a view named VDept_Headcount that reports headcount for each department. The report includes 3 columns as follow: Dept_Name, Dept_Number, No_Emp. Include all the departments. Show the content of the view through SQL (Select * from VDept_Headcount;)</p>

<pre><code>USE COMPANY
GO

--1-1) Create a view named VDept_Headcount that reports headcount for each department.
CREATE VIEW VDept_Headcount(Dept_Name, Dept_Number, No_Emp)
AS
SELECT d.DNAME, d.DNUMBER, COUNT(e.DNO) 
FROM DEPARTMENT d LEFT OUTER JOIN EMPLOYEE e ON e.DNO = d.DNUMBER
GROUP BY d.DNAME, d.DNUMBER;
GO

SELECT *
FROM VDept_Headcount;



USE COMPANY

GO

--Add yourself into Employee
INSERT INTO EMPLOYEE
VALUES('Dan', NULL, 'Chan', '122345687', '13-Nov-1948', '323 Williams Ct, Columbus, OH', 'M', 55000, '987654321', 5);

SELECT *
FROM VDept_Headcount;
</code></pre>

<p>Basically I want to know is there a way to add row without using groupon?</p>
","2017-02-20 17:45:41","","-2","<sql><view><groupon>","1","0"
"Does Groupon provide an official way to connect to their user accounts?","<p>Is there an official way provided by Groupon to connect remotely to a user's account using password/username?
I am asking because on dealsgoround.com you can automatically connect your Groupon account and save all your vouchers to their database. 
I couldn't figure out how they are doing it.</p>
","2012-01-16 18:13:38","","1","<api><connect><groupon>","1","0"
"What are the options to implement a Groupon like system?","<p>I like to build a system that will allow users to ""commit buy"" a deal, but will only be charged after a minimum # of committers are reached. The time span in which the ""deal"" will continue can be either weekly or monthly.  </p>

<p>I like to stay away from building one from the ground up as much as possible.</p>

<p>I know there's another thread on StackOverflow that asked paypal, amazon, or google checkout API to serve this purpose, but this seems too much like a hack?</p>

<p>I did some reading on using a gateway like Authorize.net to process credit card information and they can store the user information and has a service like pay-as-you-go. Would using their API be a better choice? Can their pay-as-you-go method provide the system that I'm looking for?</p>
","2011-12-29 06:37:51","","1","<e-commerce><credit-card><groupon>","1","3"
"User and Administrator Java Project","<p>I am creating a Java Project for my exam. The project asks me to do a groupon-like program using Object-oriented programming. 
It asks me to realize a program to sell discounted products. 
I have holidays, dinners and normal objects. I decided to create a super-class Product and then to extend it creating the other three classes, dinners, holidays, and objects. But it also asks me to manage a catalog of the products making have to every product an unique identifier, how can I? Even if I create a Catalog class, managing the product with an ArrayList, how can I add an identifier to each element? I also have to distinguish between users and administrator.Each of them can do different things, the administrator can add and remove products from the catalog, see the active offers and order them, and can see the no longer affordable offers. 
The User can register to the system, buy credits, see the avaible offers, buy something and can see everything that he bought, sorting them by the price or by the date of purchase.</p>

<p>My question is, how can i distinguish the user and allow them to do different things ? I have to allow a log-in operation at the beginning and show different button for users and administrator. Could help me? Give me an idea of how to manage the situation? (Should they be a superclass(user) with an administrator that extends the user?)</p>

<p>Thanks! </p>
","2014-01-21 17:44:24","","2","<java><project><groupon>","1","0"
"Groupon API returning small sample of deals for a division","<p>The Groupon API is returning small sample of deals for a division, it doesn't seem to be possible to get all the deals.</p>

<p>For example looking at food and drink category for Orlando (<a href=""http://www.groupon.com/browse/orlando?lat=28.5383355&amp;lng=-81.37923649999999&amp;address=Orlando%2C%20FL%2C%20USA&amp;category=food-and-drink"" rel=""nofollow"">http://www.groupon.com/browse/orlando?lat=28.5383355&amp;lng=-81.37923649999999&amp;address=Orlando%2C%20FL%2C%20USA&amp;category=food-and-drink</a>) there are currently 65 food and drink deals. Calling the API and requesting the Orlando deals with <a href=""https://api.groupon.com/v2/deals.json?division_id=orlando"" rel=""nofollow"">https://api.groupon.com/v2/deals.json?division_id=orlando</a> (note: you need to include your client id with the url call) returns a total of 27 deals, 2 of which can be found on the food and drinks page but the other 63 are no where to be found. </p>

<p>Is it possible to get more of the deals for a division? </p>
","2014-04-10 15:12:51","","0","<json><api><groupon>","0","2"
"what did facebook, twitter, groupon, foursquare... used when they were started?","<p>I wonder which 
 - programming language
 - platform
 - db type
 - host provider/ server type and configuration
 - 
that some big companies (Fb, twitter, groupon, foursquare...) used when they were started?</p>

<p>ex: Linux, Apache, Mysql, Php (LAMP) on Core2Duo 4GB ram, 2TB HDD; Python on Google AppEngine...</p>

<p>This would give me some idea on which one to choose for my startup :D</p>
","2011-12-27 12:41:39","8645086","1","<facebook><twitter><startup><foursquare><groupon>","2","0"
"File_get_contents function does not work with windows?","<pre><code>file_get_contents(""https://api.groupon.com/v2/deals.xml?division_id=cleveland&amp;client_id=39ddf70c45844d5a9d5a92e5106f1b229b2e1df8"");
</code></pre>

<p>This code does not work on windows, but does with Linux. Because of https. Is there any solution.</p>
","2013-07-13 17:21:57","17632578","-1","<php><linux><windows><file-get-contents><groupon>","1","9"
"Change Magento CMS Home page","<p>I am using this <a href=""http://grouponclone.contussupport.com"" rel=""nofollow noreferrer"">groupon clone</a> from contus</p>

<p>I am try to change the <strong>cms home page</strong> .Which as what i have observed can be found in </p>

<blockquote>
  <p>System > Configuration > Web > Default Pages</p>
</blockquote>

<p>I tried changing the <strong>CMS Home Page</strong> .i chose the template that i made in</p>

<blockquote>
  <p>CMS > Pages</p>
</blockquote>

<p>I am expecting the template to be loaded .and ugh after several tries, clearing the cache and even changing the <strong>Default Web URL</strong> into the templates <strong>URL Key</strong> .it didn't work</p>

<p>any suggestions?</p>

<p>Here's a screenshot of the default cms_home_page</p>

<p><img src=""https://i.stack.imgur.com/NIK7X.png"" alt=""enter image description here""></p>

<p>I tried editing the <strong>config.xml</strong> in the </p>

<blockquote>
  <p>app\code\core\Mage\Cms\etc</p>
</blockquote>

<p>I changed the <strong>default > web > default > cms_home_page</strong> node into the <strong>coming-soon</strong> URL key .Still didn't work</p>

<p>I can access the <a href=""http://127.0.0.1/mg/coming-soon/"" rel=""nofollow noreferrer"">http://127.0.0.1/mg/coming-soon/</a> page and the <a href=""http://127.0.0.1/mg/home/"" rel=""nofollow noreferrer"">http://127.0.0.1/mg/home/</a> page as well .I just wonder, why the settings i applied in the admin (and can also be seen in the db) doesn't work.</p>
","2011-11-22 13:25:34","","0","<magento><content-management-system><clone><groupon>","3","6"
"Groupon coupon code system in PHP","<p>I am trying to create a system just like groupon but where merchants input voucher codes into the system that customers can use to get their products.</p>

<p>So let's say Merchant 1 has the following product</p>

<ul>
<li>Product Name: Camera</li>
<li>Product ID: 2</li>
</ul>

<p>He would add coupon codes for Product ID 2 into the system.</p>

<p>Coupons get added to the COUPON table with the following fields:</p>

<ul>
<li>id</li>
<li>code</li>
<li>product_id (refers back to Product table</li>
<li>num_available</li>
<li>max</li>
</ul>

<p>max is the maximum of the coupon that can be given out. num_available is the number of that coupon available. So if a Merchant puts in 5 as max, then num_available starts out as 5. but whenever a customer gets assigned that coupon, num_available gets decreased by 1</p>

<p>Then when customers order they get assigned a coupon</p>

<p>User orders get added to the following table Orders:
Orders:</p>

<ul>
<li>order_id</li>
<li>user_id</li>
</ul>

<p>OrderPosition:</p>

<ul>
<li>id </li>
<li>order_id</li>
<li>product_id</li>
<li>amount</li>
<li>coupon_id</li>
</ul>

<p>Each Order (stored in Orders) has multiple products associated with it (stored in OrderPosition). </p>

<p>So User 1 orders Product 2 and gets assigned Coupon ID 1 that was added for Product 2. The num_available for Coupon ID 1 (in the COUPON table) gets decreased by 1 in the database.</p>

<p>but what if User 1 orders TWO Product 2s - one for her and one for her friend - does she get two different coupon codes? </p>

<p>Basically, I would like to make his process more efficient, and I don't know how Groupon has designed this process, but if anyone has good ideas on how best to do so, please let me know! </p>

<p>I would love to know if I should change the database schema to make this more efficient ... </p>

<p>My end goal is to allow people to buy deals. Once they buy a deal, they get a coupon. I could have automatically generated that coupon, but I'm guessing some merchants want to input their own coupons that work on their own system, right? </p>

<p>The question is - how should I design the system to achieve my goals described above? </p>

<p>I would also like to stress that the products that will be listed on my website will be from different merchants. I won't be listing my own products. Merchants list their own products just like on Groupon.com.</p>

<p>Is it feasible to generate coupon codes instead of having merchants input their codes? Wouldn't that mean that they would have to also support these codes on their own systems? Like If jcpenny.com inputs products on my website, I could generate coupon codes for these products, but what if jcpenny.com does not support these coupon codes? I am guessing that Merchants would want to input their own codes... Or maybe I am wrong? </p>
","2011-10-30 15:15:37","","-4","<php><mysql><groupon>","1","3"
